id,category,value_a,value_b,flag
1,Beta,88.9,18.9,false
2,Gamma,6.3,27.3,false
3,Delta,53.4,48.1,true
4,Epsilon,0.2,0.6,false
5,Alpha,9.7,18.1,false
6,Beta,12.7,42.8,true
7,Gamma,8.2,27.5,
8,Delta,70.9,0.7,false
9,Epsilon,50.1,17.5,true
10,Alpha,23.8,14,false
11,Beta,59.7,34.4,false
12,Gamma,46.4,34.5,true
13,Delta,24.1,13.7,false
14,Epsilon,74.5,4.3,
15,Alpha,73.5,34.9,true
16,Beta,76.1,3.2,false
17,Gamma,85.6,49.3,false
18,Delta,33.4,34.6,true
19,Epsilon,47.3,6.2,false
20,Alpha,81.6,1.3,false
21,Beta,28.9,42.9,
22,Gamma,29.4,34.4,false
23,Delta,65.3,35.7,false
24,Epsilon,20.6,4.2,true
25,Alpha,49.3,26.9,false
26,Beta,5.2,25.2,false
27,Gamma,15.4,36.9,true
28,Delta,19.8,7.1,
29,Epsilon,67.7,9.7,false
30,Alpha,4.9,47.4,true
31,Beta,86.1,24.2,false
32,Gamma,84.2,2.5,false
33,Delta,48.9,37.6,true
34,Epsilon,0.6,25.9,false
35,Alpha,42.2,49.1,
36,Beta,24.4,23.2,true
37,Gamma,12.5,19.9,false
38,Delta,2.5,47.8,false
39,Epsilon,50.3,36.9,true
40,Alpha,62.7,27.4,false
41,Beta,12.3,21.5,false
42,Gamma,36.4,2.1,
43,Delta,96.4,46.6,false
44,Epsilon,96.4,26.7,false
45,Alpha,65.3,7.6,true
46,Beta,21.4,6,false
47,Gamma,14.3,27.8,false
48,Delta,0.6,41.3,true
49,Epsilon,82.4,40.4,
50,Alpha,42.9,42.8,false
51,Beta,34.2,15.5,true
52,Gamma,87.7,16.4,false
53,Delta,6.4,9.3,false
54,Epsilon,6.9,48.2,true
55,Alpha,81.8,23.8,false
56,Beta,41,18,
57,Gamma,26.3,47.7,true
58,Delta,52.5,24.3,false
59,Epsilon,46.8,19.2,false
60,Alpha,4.9,3.5,true
61,Beta,42.7,30.2,false
62,Gamma,66.9,11.4,false
63,Delta,49,20.9,
64,Epsilon,88,15.2,false
65,Alpha,76.7,6.9,false
66,Beta,62.5,11.3,true
67,Gamma,98.2,40,false
68,Delta,73.3,7.8,false
69,Epsilon,83.7,34.2,true
70,Alpha,47.7,5.9,
71,Beta,91.5,28.4,false
72,Gamma,38.4,23,true
73,Delta,71.7,43.6,false
74,Epsilon,43.9,48.3,false
75,Alpha,84,4,true
76,Beta,58.8,6.3,false
77,Gamma,49.6,32,
78,Delta,82.2,21.9,true
79,Epsilon,55,19.5,false
80,Alpha,1.6,2.9,false
81,Beta,90.3,13.4,true
82,Gamma,75.8,43,false
83,Delta,33.5,3.7,false
84,Epsilon,77,8.4,
85,Alpha,75,27.6,false
86,Beta,98,25.8,false
87,Gamma,87.7,32,true
88,Delta,19.4,28.4,false
89,Epsilon,53.5,13.1,false
90,Alpha,16.3,42.8,true
91,Beta,64.4,46.8,
92,Gamma,56.6,20.2,false
93,Delta,84.8,34.6,true
94,Epsilon,68,17.7,false
95,Alpha,72.1,38.8,false
96,Beta,45.8,21.4,true
97,Gamma,87.9,12.1,false
98,Delta,98.2,6.6,
99,Epsilon,23.1,26,true
100,Alpha,39.3,38.4,false
